player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_3rd_slice_shot,opening_2nd_backhand_ground,opening_2nd_forehand_ground,opening_3rd_forehand_ground,opening_3rd_backhand_ground,opening_2nd_slice_shot,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide
Adrian_Mannarino,2.3219455703532135,0.287109375,0.7006802721088435,0.17479191438763378,0.18668252080856124,0.09855453350854139,0.017520805957074025,0.33070521243977224,0.2474813841436706,0.4169951817783618,0.05385060799073538,0.1171875,0.380859375,0.51171875,0.4140625,0.3359375,0.0703125,0.26953125,0.328125,0.37890625
Alejandro_Davidovich_Fokina,1.9199346405228759,0.3617021276595745,0.6078431372549019,0.10218978102189781,0.22627737226277372,0.14742451154529307,0.035523978685612786,0.2824156305506217,0.2824156305506217,0.43161634103019536,0.05065359477124183,0.1702127659574468,0.24822695035460993,0.5531914893617021,0.3829787234042553,0.2765957446808511,0.14184397163120568,0.46099290780141844,0.2695035460992908,0.2198581560283688
Alejandro_Moro_Canas,2.0127388535031847,0.34831460674157305,0.8064516129032258,0.0641025641025641,0.16666666666666666,0.11006289308176101,0.018867924528301886,0.3584905660377358,0.27358490566037735,0.36163522012578614,0.03503184713375796,0.10112359550561797,0.23595505617977527,0.6067415730337079,0.4044943820224719,0.2696629213483146,0.12359550561797752,0.30337078651685395,0.42696629213483145,0.2247191011235955
Alejandro_Tabilo,1.9481981981981982,0.26,0.5,0.13812154696132597,0.22099447513812154,0.10926365795724466,0.023752969121140142,0.3087885985748218,0.2826603325415677,0.39667458432304037,0.05855855855855856,0.09,0.33,0.56,0.49,0.26,0.07,0.41,0.28,0.31
Alex_De_Minaur,2.33265306122449,0.25165562913907286,0.618421052631579,0.20816326530612245,0.2163265306122449,0.11485451761102604,0.008422664624808576,0.29326186830015316,0.3009188361408882,0.3981623277182236,0.025510204081632654,0.1357615894039735,0.33774834437086093,0.5562913907284768,0.40066225165562913,0.31456953642384106,0.09271523178807947,0.38079470198675497,0.25165562913907286,0.3344370860927152
Alex_Michelsen,1.9164208456243854,0.5758928571428571,0.6821705426356589,0.42117117117117114,0.240990990990991,0.07939914163090128,0.023605150214592276,0.30150214592274677,0.26502145922746784,0.4270386266094421,0.09734513274336283,0.07142857142857142,0.3705357142857143,0.45089285714285715,0.32142857142857145,0.32589285714285715,0.044642857142857144,0.28125,0.25892857142857145,0.42857142857142855
Alexander_Bublik,1.746731234866828,0.5571776155717761,0.5938864628820961,0.4193138500635324,0.23761118170266837,0.14267185473411154,0.07392996108949416,0.3398184176394293,0.2204928664072633,0.43125810635538264,0.12397094430992736,0.1897810218978102,0.32116788321167883,0.39659367396593675,0.2895377128953771,0.2360097323600973,0.145985401459854,0.20924574209245742,0.46715328467153283,0.2846715328467153
Alexander_Shevchenko,2.0142857142857142,0.24528301886792453,0.6153846153846154,0.3238095238095238,0.3047619047619048,0.03755868544600939,0.028169014084507043,0.2863849765258216,0.3333333333333333,0.3755868544600939,0.05714285714285714,0.05660377358490566,0.37735849056603776,0.5660377358490566,0.39622641509433965,0.33962264150943394,0.018867924528301886,0.1509433962264151,0.33962264150943394,0.4528301886792453
Alexander_Zverev,2.0,0.3244444444444444,0.6712328767123288,0.3865336658354115,0.18703241895261846,0.11135135135135135,0.014054054054054054,0.29081081081081084,0.19783783783783784,0.4789189189189189,0.0918918918918919,0.13777777777777778,0.48444444444444446,0.44,0.38666666666666666,0.3377777777777778,0.057777777777777775,0.04888888888888889,0.5644444444444444,0.36444444444444446
Alexandre_Muller,1.8202614379084967,0.47540983606557374,0.6206896551724138,0.23741007194244604,0.2805755395683453,0.13147410358565736,0.01593625498007968,0.2908366533864542,0.3187250996015936,0.3784860557768924,0.058823529411764705,0.19672131147540983,0.36065573770491804,0.4918032786885246,0.3770491803278688,0.22950819672131148,0.11475409836065574,0.36065573770491804,0.26229508196721313,0.36065573770491804
Alexei_Popyrin,2.0416666666666665,0.7872340425531915,0.5405405405405406,0.5921052631578947,0.17105263157894737,0.25142857142857145,0.017142857142857144,0.33714285714285713,0.22285714285714286,0.4057142857142857,0.13690476190476192,0.1276595744680851,0.10638297872340426,0.574468085106383,0.3617021276595745,0.10638297872340426,0.2553191489361702,0.3829787234042553,0.19148936170212766,0.3404255319148936
