player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio
Adrian_Andreev,2.683673469387755,0.1081081081081081,0.625,0.2184873949579832,0.226890756302521,0.0515151515151515,0.0272727272727272,0.2666666666666666,0.2696969696969697,0.406060606060606,0.0561224489795918,0.054054054054054,0.4054054054054054,0.527027027027027,1.4000000000000001,2.6666666666666674
Albert_Ramos,2.483552631578948,0.1360153256704981,0.676056338028169,0.1505882352941176,0.248235294117647,0.0456762749445676,0.0155210643015521,0.3317073170731707,0.2248337028824833,0.4354767184035477,0.0335526315789473,0.1590038314176245,0.4386973180076628,0.3927203065134099,3.2605042016806727,1.949685534591195
Alejandro_Davidovich_Fokina,2.397134898527656,0.1756601607347876,0.6666666666666666,0.1563139931740614,0.2860068259385666,0.0526915408715465,0.0458558815152378,0.296781543719738,0.2059242381088009,0.4881800056963828,0.0338241146040588,0.3616532721010333,0.2675086107921929,0.3478760045924225,1.4707692307692306,1.2744479495268137
Alejandro_Moro_Canas,2.734806629834254,0.1645569620253164,0.7692307692307693,0.2612612612612612,0.2882882882882883,0.1019108280254777,0.0414012738853503,0.3089171974522293,0.2515923566878981,0.4331210191082802,0.0276243093922651,0.1772151898734177,0.3544303797468354,0.4683544303797468,2.5000000000000004,2.733333333333333
Alejandro_Tabilo,2.3216730038022813,0.24330900243309,0.67,0.2331902718168812,0.1874105865522174,0.0684695051783659,0.0420023014959723,0.3987341772151899,0.2514384349827387,0.3446490218642117,0.0517110266159695,0.340632603406326,0.2652068126520681,0.3673965936739659,2.537037037037037,1.6666666666666667
Aleksandar_Vukic,2.29616724738676,0.1636363636363636,0.6296296296296297,0.3537906137184115,0.2274368231046931,0.0672043010752688,0.0362903225806451,0.2849462365591398,0.353494623655914,0.353494623655914,0.0958188153310104,0.3272727272727272,0.2848484848484848,0.3696969696969697,3.3243243243243255,2.575
Alex_De_Minaur,2.52697967764541,0.2162162162162162,0.6696428571428571,0.1209781209781209,0.2471042471042471,0.0426801284993116,0.0279944928866452,0.2565396971087655,0.2762735199632859,0.4603028912345112,0.0231254379817799,0.3166023166023166,0.276061776061776,0.3918918918918919,1.7499999999999998,1.0853080568720381
Alex_Molcan,2.5843373493975905,0.2,0.5833333333333334,0.3204419889502762,0.2044198895027624,0.0646387832699619,0.0513307984790874,0.3365019011406844,0.2680608365019011,0.376425855513308,0.0632530120481927,0.175,0.3416666666666667,0.4416666666666666,3.5200000000000005,1.4749999999999999
Alexander_Bublik,1.867066895368782,0.4082397003745318,0.4862385321100917,0.2854291417165668,0.2135728542914171,0.1088031651829871,0.0801186943620178,0.3234421364985163,0.297725024727992,0.3699307616221562,0.0780445969125214,0.1797752808988764,0.5280898876404494,0.2846441947565543,1.2526315789473685,1.2894736842105263
Alexander_Ritschard,1.975155279503105,0.3,0.75,0.0759493670886076,0.2658227848101265,0.0955414012738853,0.0254777070063694,0.3121019108280254,0.1783439490445859,0.4968152866242038,0.0372670807453416,0.475,0.3,0.225,2.3636363636363633,2.8749999999999996
Alexander_Shevchenko,2.415620641562064,0.189873417721519,0.7555555555555555,0.1262626262626262,0.2626262626262626,0.0472906403940886,0.0246305418719211,0.3113300492610837,0.2630541871921182,0.4226600985221674,0.0251046025104602,0.2658227848101265,0.2531645569620253,0.4556962025316455,1.5617977528089888,1.5061728395061733
Alexander_Zverev,2.4543564543564544,0.3144475920679886,0.6378378378378379,0.320273184759166,0.2491013659237958,0.0569200779727095,0.0256010396361273,0.3267056530214425,0.2220922677063028,0.4393762183235867,0.0551880551880551,0.1790368271954674,0.3784702549575071,0.4164305949008499,1.3403361344537816,1.3034825870646765
Alexandre_Muller,2.3531300160513644,0.2265193370165746,0.6585365853658537,0.1993569131832797,0.2379421221864952,0.0794780545670225,0.0320284697508896,0.2894424673784104,0.2763938315539739,0.4175563463819691,0.0465489566613162,0.2265193370165746,0.2762430939226519,0.4806629834254143,1.0987654320987654,1.0746268656716416
Alexei_Popyrin,2.056122448979592,0.3703703703703703,0.5,0.2980769230769231,0.2211538461538461,0.0193236714975845,0.038647342995169,0.4347826086956521,0.1400966183574879,0.4202898550724637,0.0357142857142857,0.1481481481481481,0.4074074074074074,0.4259259259259259,2.7142857142857153,3.2222222222222237
Andrea_Vavassori,2.2146596858638743,0.7169811320754716,0.5789473684210527,0.1548672566371681,0.1902654867256637,0.1228448275862068,0.0387931034482758,0.3512931034482758,0.1508620689655172,0.4892241379310345,0.0445026178010471,0.2075471698113207,0.3490566037735849,0.4339622641509434,2.913043478260869,2.6000000000000005
Andrej_Martin,2.4923076923076923,0.38,0.4736842105263157,0.1951219512195122,0.2317073170731707,0.056701030927835,0.0257731958762886,0.3247422680412371,0.1597938144329896,0.5103092783505154,0.0076923076923076,0.08,0.44,0.4,3.2727272727272725,4.0
Andrey_Rublev,2.2060100166944907,0.1988165680473372,0.7023809523809523,0.2971698113207547,0.2122641509433962,0.0838870431893687,0.0143964562569213,0.2602436323366556,0.2250830564784053,0.4712070874861572,0.0664440734557596,0.1893491124260355,0.378698224852071,0.4165680473372781,1.4000000000000001,1.094512195121951
Andy_Murray,2.196428571428572,0.2441613588110403,0.7304347826086957,0.2005174644243208,0.2212160413971539,0.0679933665008291,0.0348258706467661,0.3537866224433388,0.1907131011608623,0.4499723604201216,0.0509259259259259,0.2929936305732484,0.2845010615711252,0.3949044585987261,1.4309392265193368,1.1987577639751554
Arklon_Huertas_Del_Pino,2.5323741007194243,0.1153846153846153,0.5,0.0133333333333333,0.1466666666666666,0.323943661971831,0.0469483568075117,0.2676056338028169,0.4084507042253521,0.323943661971831,0.0071942446043165,0.5,0.1538461538461538,0.3461538461538461,1.3846153846153844,1.8181818181818183
Arthur_Cazaux,2.543543543543544,0.2892561983471074,0.5714285714285714,0.3169398907103825,0.2076502732240437,0.0447470817120622,0.0408560311284046,0.3832684824902724,0.188715953307393,0.4163424124513619,0.048048048048048,0.1818181818181818,0.3223140495867768,0.4876033057851239,1.651162790697675,1.6944444444444444
Arthur_Fils,2.2818791946308723,0.2167182662538699,0.7285714285714285,0.2333333333333333,0.3037037037037037,0.0553477935676888,0.0269259536275243,0.3208676140613313,0.2722513089005235,0.4031413612565445,0.049856184084372,0.1826625386996904,0.3653250773993808,0.4334365325077399,1.842592592592593,1.6534653465346534
Arthur_Rinderknech,2.157635467980296,0.6428571428571429,0.75,0.4454545454545454,0.2363636363636363,0.0553191489361702,0.0425531914893617,0.251063829787234,0.3319148936170212,0.4127659574468085,0.0591133004926108,0.1071428571428571,0.3571428571428571,0.5357142857142857,1.3000000000000003,1.4375
Aslan_Karatsev,2.2891278375149344,0.1411764705882353,0.6666666666666666,0.1157407407407407,0.2129629629629629,0.06209453197405,0.015755329008341,0.2687673772011121,0.293790546802595,0.4291010194624652,0.034647550776583,0.4549019607843137,0.2549019607843137,0.2784313725490196,1.0,0.9821428571428571
